"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Austria","AUT","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3366090157445","1.50969596738588","1.43921476442453","1.18955007028134","0.9298984150218","1.04152316222679","1.26216561644071","0.746155408818943","1.12035022827136","0.731141367958037","0.733729623042966","0.723901866555277","0.697403251734969","0.674916635242099","0.6824475967359","0.74566714069339","0.792330818104819","0.514617544579579","0.716140093794597","0.562909237881427","0.687565126844102","1.02731508511917","1.0460390999685","0.773062912705374","0.47872389443803","0.637332306362807","0.535822032536046","0.762920139253732","0.96600524057843","0.847079681351518","0.638853495264441","0.569332063039634","",
"Azerbaijan","AZE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18132140161068","2.96222563337993","3.09139217948623","3.19499802957489","3.10841645478845","2.86155989394112","1.99338866207313","2.1346099106112","2.63557223863909","2.13815003101802","2.97379847217657","2.51511624159892","",
"Burundi","BDI","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40941568278491","8.87863767106031","7.19955937944686","9.46769108810121","","","","","","",
"Belgium","BEL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.56348152797015","3.55405410095943","3.68978256212271","2.66780341565517","2.76626440762071","2.50249987311241","2.57128392518634","2.37020075913616","2.50530412539385","2.13186602897609","2.24158985669339","2.26394902134373","2.35937585308469","1.94822540549453","2.34779027680098","2.27775793778304","1.92107540005498","1.89044901463466","2.07336192446264","1.60271002414104","","1.98784797147961","",
"Benin","BEN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07179679622495","6.63727298266039","8.56698670923366","9.52543520244029","9.48033235684288","10.1268515964312","8.73599555836596","7.5547681773399","7.07801928763511","6.07561831933787","6.01508387009701","6.35992910045073","5.16321889470842","5.11542678743055","4.93031077041983","3.90266488294527","3.5250897596009","3.73230260918831","3.66996392236569","3.11708742603524","3.29553679460022","2.68476049128377","2.86834120794122","2.083568892372","2.40764275396817","2.73821480815277","1.62281553370417","1.95292727284476","1.56463167483825","1.7539169716168","1.27020587378644","1.79675497068519","",
"Bahrain","BHR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.132626082643291","1.45925559392366","1.04517303166156","1.27022354664197","1.11014624326511","0.356421739587584","0.342065310529739","0.548127213748785","0.53648414045584","0.321402342701676","0","0","",
"Bahamas, The","BHS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4909345279313","32.1731370145012","22.6836067842131","29.1232150202044","25.7635064132229","","","36.2261448563245","23.5083621182376","24.403085546352","26.6707885158009","25.1430760757645","26.0084172695891","32.6792617988183","40.3281559662626","37.5373240437935","43.2210334878813","44.8908901974368","60.8375855699824","54.2736422769964","54.895671314859","59.2602083717057","68.8362438709268","54.6676443764603","60.5772595056687","45.6772693297899","45.9386847599704","31.8756233740861","57.9405468459576","",
